,file,gender,subject
0,02463d3895.png,1,0
1,02463d3896.png,1,0
2,02463d3897.png,1,0
3,02463d3898.png,1,0
4,02463d3899.png,1,0
5,02463d3900.png,1,0
6,02463d3904.png,1,0
7,02463d3905.png,1,0
8,02463d3906.png,1,0
9,02463d3907.png,1,0
10,02463d3935.png,1,0
11,02463d3936.png,1,0
12,02463d3945.png,1,0
13,02463d3947.png,1,0
14,02463d4074.png,1,0
15,02463d4075.png,1,0
16,02463d4076.png,1,0
17,02463d4077.png,1,0
18,02463d4078.png,1,0
19,02463d4086.png,1,0
20,02463d4087.png,1,0
21,02463d4088.png,1,0
22,02463d4089.png,1,0
23,02463d4090.png,1,0
24,04233d3649.png,1,1
25,04233d3650.png,1,1
26,04233d3651.png,1,1
27,04233d3652.png,1,1
28,04233d3653.png,1,1
29,04233d3654.png,1,1
30,04233d3655.png,1,1
31,04233d3656.png,1,1
32,04233d3657.png,1,1
33,04233d3658.png,1,1
34,04233d3692.png,1,1
35,04233d3693.png,1,1
36,04233d3694.png,1,1
37,04233d3695.png,1,1
38,04233d3696.png,1,1
39,04233d3697.png,1,1
40,04233d3698.png,1,1
41,04233d3699.png,1,1
42,04233d3700.png,1,1
43,04233d3701.png,1,1
44,04233d3702.png,1,1
45,04233d3703.png,1,1
46,04233d3704.png,1,1
47,04233d3792.png,1,1
48,04233d3793.png,1,1
49,04233d3794.png,1,1
50,04233d3795.png,1,1
51,04233d3796.png,1,1
52,04233d3797.png,1,1
53,04233d3803.png,1,1
54,04233d3804.png,1,1
55,04233d3805.png,1,1
56,04233d3806.png,1,1
57,04233d3807.png,1,1
58,04233d3897.png,1,1
59,04233d3898.png,1,1
60,04233d3899.png,1,1
61,04233d3900.png,1,1
62,04233d3901.png,1,1
63,04233d3909.png,1,1
64,04233d3910.png,1,1
65,04233d3911.png,1,1
66,04233d3912.png,1,1
420,04589d302.png,1,8
421,04589d303.png,1,8
422,04589d304.png,1,8
423,04589d305.png,1,8
424,04589d306.png,1,8
425,04589d314.png,1,8
426,04589d315.png,1,8
427,04589d316.png,1,8
428,04589d317.png,1,8
429,04589d318.png,1,8
430,04589d420.png,1,8
431,04589d421.png,1,8
432,04589d422.png,1,8
433,04589d423.png,1,8
434,04589d431.png,1,8
435,04589d432.png,1,8
436,04589d433.png,1,8
437,04589d434.png,1,8
438,04589d556.png,1,8
439,04589d558.png,1,8
440,04589d559.png,1,8
441,04589d560.png,1,8
442,04589d561.png,1,8
443,04589d562.png,1,8
444,04589d563.png,1,8
445,04589d570.png,1,8
446,04589d571.png,1,8
447,04589d572.png,1,8
448,04589d573.png,1,8
449,04589d574.png,1,8
450,04589d575.png,1,8
451,04589d576.png,1,8
593,05246d1355.png,1,12
594,05246d1356.png,1,12
595,05246d1357.png,1,12
596,05246d1358.png,1,12
597,05246d1359.png,1,12
598,05246d1360.png,1,12
599,05246d1361.png,1,12
600,05246d1362.png,1,12
601,05246d1363.png,1,12
602,05246d1391.png,1,12
603,05246d1392.png,1,12
604,05246d1393.png,1,12
605,05246d1394.png,1,12
606,05246d1395.png,1,12
607,05246d1396.png,1,12
608,05246d1397.png,1,12
609,05246d1398.png,1,12
610,05246d1399.png,1,12
611,05246d1400.png,1,12
612,05246d1401.png,1,12
613,05246d1402.png,1,12
614,05246d1403.png,1,12
615,05293d1985.png,1,13
